./main <proj1_instances/weighted_chimera_297.txt
8420 011011111111101010100101110100110011111011011110111011111100111110111110011111000100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
8420 011011111111101010100101110100110011111011011110111011111100111110011110011111001100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
6920 011011111111101010100101110100110011111011011110111011111100111110011110011111000100111111111011011111010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111011100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
5864 011011111111101010100101110100110011111011011110111011111100111110011110011111001101111111111011011011010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110011101011100001111111101
5520 011011111111101010100101110100110011111011011110111011111100111110111110011111000100111111111011011111010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111010100110111111011111111111000111110100111101111111110110011111101101111111110111101011100001111111111
4720 011011111111101010100101110100110011111011011110111011111100111110011110011111001101111111111011011011010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111010100110111111011111111111000111110100111101111111110110011111101101111111110111101011100001111111111
4120 011011111111101010100101110100110011111011011110111011111100111110011110011111001101111111111011011011010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111010100110111111011111111111000111110100111101111111110110011111101101111111010111101011100001111111101
8 178.085 -fit: 8664
8664 011011111111101010100101110100110011111011011110111011111100111110011110011111000100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
8464 011011111111101010100101110100110011111011011110111011111100111110011110011111000100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111111
8420 011011111111101010100101110100110011111011011110111011111100111110011110011111000100111111111011011111010100011100011101011111111100010111110011111011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
8420 011011111111101010100101110100110011111011011110111011111100111110111110011111000100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
8420 011011111111101010100101110100110011111011011110111011111100111110011110011111001100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
7176 011011111111101010100101110100110011111011011110111011111100111110011110011111001101111111111011011011010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111111011111111111010111111100111101111111110110011111101101111111110111101011100001111111101
7120 011011111111101010100101110100110011111011011110111011111100111110111110011111000100111111111011011111010100011100011101011111111100010111110011110011000111111011111001001110111101001101110011111010100110111011011111111111010111110100111101111111110110011111101101111111010111101011100001111111101
5720 011011111111101010100101110100110011111011011110111011111100111110111110011111000100111111111011011111010100011100011101011111111100010111110010010011000111111011111001001110111101001101110011111010100110111111011111111111000111110100111101111111110110011111101101111111110111101011100001111111101
